distrito,seccion,Total,PSOE,CHA,IU,PP,PAR,PODEMOS,CIUDADANOS
6,015,619,99,31,21,70,8,94,25
6,016,624,104,27,18,85,9,80,35
6,017,464,79,15,10,67,9,85,22
6,017,442,85,5,6,62,14,82,18
6,018,589,73,30,21,54,18,108,26
6,019,701,124,29,11,84,12,95,16
6,020,730,115,26,22,68,7,107,14
6,021,418,74,16,19,34,10,58,16
6,021,506,70,19,19,60,14,74,18
6,022,705,139,38,18,86,23,128,36
6,022,652,115,15,28,83,27,119,19
6,024,518,87,23,14,53,13,60,15
6,024,524,82,26,13,50,13,78,11
6,025,611,78,22,19,44,11,51,12
6,026,632,99,22,14,52,10,83,17
6,027,705,100,31,16,76,21,113,26
6,028,533,101,22,11,66,5,62,27
6,028,508,94,19,22,72,16,67,20
6,029,823,156,40,29,87,10,118,24
6,030,693,97,36,32,120,16,105,31
6,031,669,126,32,20,81,21,104,28
6,032,458,84,15,20,63,8,76,18
6,032,487,99,18,12,70,10,70,20
6,033,416,72,13,19,75,12,53,13
6,033,435,52,7,15,98,9,56,37
6,034,822,157,50,32,110,14,119,42
6,035,729,98,24,55,83,15,107,45
6,036,524,74,21,22,59,12,100,34
6,036,554,58,24,13,87,20,80,22
6,037,700,130,18,10,115,18,97,29
6,038,689,104,35,21,94,11,108,27
6,039,544,95,15,16,56,13,105,28
6,039,581,84,22,27,72,18,108,25
7,001,530,54,16,17,131,15,74,38
7,001,628,82,23,17,128,20,86,52
7,001,561,54,16,16,138,16,102,41
7,002,715,129,23,25,81,12,93,33
7,003,722,126,20,24,84,23,109,68
7,003,740,103,39,22,101,21,112,51
7,004,601,115,23,21,72,21,104,25
7,004,542,88,18,18,62,11,90,26
7,005,455,70,18,18,53,19,67,31
7,005,498,104,15,24,49,17,91,25
7,006,632,111,21,14,81,13,77,42
7,006,702,112,20,19,92,15,101,41
7,007,653,109,29,30,59,16,86,40
7,007,683,115,29,16,82,13,111,34
7,008,662,66,21,25,148,18,124,62
7,008,669,77,16,37,161,16,104,60
7,009,687,107,21,21,84,20,89,21
7,009,689,107,23,27,69,12,94,34
7,014,510,23,4,5,200,17,45,65
7,014,511,22,8,6,184,14,43,54
7,015,755,101,41,26,115,16,129,63
7,015,847,142,37,34,131,17,145,57
7,016,633,84,19,25,86,22,122,58
7,016,727,103,35,43,93,24,159,60
7,017,598,99,23,32,67,9,125,49
7,017,618,94,29,34,67,8,134,61
7,018,642,86,39,32,100,17,120,63
7,018,625,88,30,33,89,22,137,66
7,019,524,67,26,22,71,15,116,43
7,019,571,62,31,19,96,12,117,49
7,020,500,73,16,30,55,14,99,24
7,020,521,79,19,23,54,11,78,30
8,001,577,68,37,17,67,9,95,26
8,001,643,77,35,18,91,16,88,27
8,002,744,106,32,18,69,8,74,21
8,003,762,90,30,22,84,19,132,45
8,004,483,57,22,12,49,5,85,31
8,004,482,51,13,6,74,9,62,40
8,005,598,36,17,21,93,13,105,42
8,005,573,41,23,16,105,20,90,51
8,006,569,69,22,15,59,6,101,47
8,006,657,69,25,17,72,13,110,34
8,006,548,52,35,13,82,12,84,45
8,007,459,38,27,13,31,15,69,21
8,007,421,57,11,13,31,10,52,21
8,008,603,75,17,8,49,7,67,21
8,009,441,46,17,8,35,13,60,22
8,009,442,62,15,6,27,11,73,22
8,010,593,31,7,22,170,15,78,67
8,010,650,44,7,24,212,25,62,75
8,011,593,68,38,13,41,14,86,51
8,011,663,98,28,17,59,11,116,37
8,011,608,72,25,17,59,5,119,36
8,012,495,68,22,15,43,6,78,19
8,012,535,77,20,19,34,18,90,14
8,013,528,62,18,13,36,11,97,32
8,013,617,65,17,17,54,14,113,44
8,014,498,73,24,11,24,8,70,30
8,014,642,80,32,20,39,7,101,31
8,014,612,84,28,21,46,7,101,43
8,015,584,47,16,33,134,7,107,60
8,016,667,59,19,15,182,17,102,56
8,017,576,41,7,14,139,19,82,76
8,017,571,43,7,11,158,21,71,75
8,017,545,39,8,7,129,13,81,81
8,018,500,43,22,9,63,14,93,54
8,018,504,46,14,11,110,15,95,32
8,019,507,63,29,11,37,10,96,47
8,019,574,77,29,19,69,12,106,41
8,020,757,57,30,19,149,17,102,114
8,020,760,75,14,22,135,21,112,104
8,021,716,70,29,21,93,19,116,69
8,021,832,88,29,24,129,14,144,72
8,022,439,41,13,14,70,7,80,37
8,022,462,48,22,11,62,19,90,42
8,023,424,44,16,11,54,8,75,44
8,023,466,40,39,14,63,12,90,31
8,024,627,41,18,20,122,17,90,71
8,024,661,51,21,15,102,27,97,74
